author,author_score
J.K. Rowling,411.0
W. Frederick Zimmerman,40.0
Douglas Adams,985.0
Bill Bryson,186.0
J.R.R. Tolkien,316.0
David Storey,539.0
Jude Fisher,97.0
Dave Thomas,723.0
Gary Paulsen,723.0
Molly Hatchet,4.0
Dale Peck,117.0
Angela Knight,193.0
Delia Sherman,144.0
Patricia A. McKillip,255.0
Zilpha Keatley Snyder,261.0
Kate Horsley,36.0
Philippa Carr,299.0
Edward P. Jones,54.0
Satyajit Das,102.0
Mark S. Smylie,14.0
John McPhee,510.0
John A. McPhee,452.0
Wendy Wasserstein,105.0
Heidi Hayes Jacobs,87.0
Heidi Boyd,53.0
Rolland and Heidi Baker,4.0
Johanna Spyri,2065.0
Rolland Baker,24.0
Heidi Murkoff,308.0
Heidi Fleiss,4.0
Frank Herbert,3318.0
Brian Herbert,1867.0
Gary Russell,259.0
Bryce Courtenay,293.0
John C. Maxwell,2708.0
Dave Lakhani,39.0
Louis E. Catron,26.0
Adam Ginsberg,14.0
Marsha Collier,240.0
Chris Malta,3.0
Julia Wilkinson,53.0
Lucas Carlson,21.0
Ruby Ann Boxcar,18.0
Rob Orsini,6.0
Leo Tolstoy,3310.0
Лев Толстой,3282.0
Marianne Sturman,45.0
Gloria Goldreich,136.0
Anthony Thorlby,58.0
Mulk Raj Anand,632.0
John Banville,844.0
Eliot Ness,12.0
Narendra Jadhav,31.0
V.T Rajshekar Shetty,7.0
Vasant Moon,7.0
Barry Cournoyer,32.0
John Carratello,168.0
George Smoot,42.0
Madeleine L'Engle,215.0
Tara McCarthy,100.0
Cynthia Harrod-Eagles,725.0
Charles Todd,2324.0
Ewan McGregor,49.0
Daniel Abraham,557.0
Charles Ray Willeford,216.0
Tom Wolfe,441.0
Edward Lear,1572.0
Quentin Blake,778.0
Henry Miller,1909.0
Henry James,9541.0
Marguerite Duras,432.0
Kahlil Gibran,796.0
Jean Gibran,8.0
Robert Louis Stevenson,6750.0
Ralph Ginzburg,34.0
Gabriel García Márquez,408.0
Dr. Seuss,1099.0
Debbie Raleigh,73.0
Kevin Henkes,610.0
Patrick Süskind,400.0
Robert A. Heinlein,171.0
Nick  Webb,79.0
Terry Jones,490.0
Susan Nanus,24.0
Harry G. Frankfurt,14.0
Nick Flynn,101.0
Garry Wills,626.0
