isbn13,main_authors,publisher,num_pages,subjects,revisions_count,ratings_count,want_to_read_count,currently_reading_count,already_read_count
9780440419464,Louis Sachar,"Farrar, Straus and Giroux",233.0,"Juvenile delinquency -- Juvenile fiction, Homeless persons -- Juvenile fiction, Friendship -- Juvenile fiction, Treasure-trove -- Juvenile fiction",26,171.0,1414.0,132.0,274.0
9780393964523,Daniel Defoe,Norton,436.0,"Defoe, Daniel, 1661?-1731, Crusoe, Robinson (Fictitious character) -- Fiction, Survival after airplane accidents, shipwrecks, etc. -- Fiction",15,14.0,361.0,30.0,42.0
9780307343109,Eoin Colfer,Montena,320.0,"Action & Adventure - General, Juvenile Fiction / Action & Adventure, Juvenile Fiction, Children's Books/Ages 9-12 Fiction, Spanish: Young Adult (Gr. 7-9)",11,5.0,68.0,7.0,26.0
9780743498296,Alan Dean Foster,I Books,304.0,"Fantasy, Fiction, Fiction - Fantasy, Fantasy - Contemporary, Fiction / Fantasy / Contemporary, Fantasy - General",8,3.0,8.0,1.0,5.0
9780812969009,Laurie Notaro,Villard,228.0,"Notaro, Laurie., Humorists, American -- 20th century -- Biography., Young women -- Humor.",17,1.0,4.0,0.0,2.0
9780787981297,Neil  Cole,Jossey-Bass,272.0,"Christian mission & evangelism, Religion, Church renewal, Religion - Church Life & Growth, Institutions & Organizations, Christian Church - Growth, Religion / Christian Life, Christianity and culture, Christian Life - General, Evangelistic work, Christianity - Christian Life - General",17,0.0,1.0,0.0,0.0
9780375727276,Bret Easton Ellis,Vintage,399.0,"College teachers, Suburban life, Hallucinations and illusions, Married people, Novelists, Fiction",14,1.0,30.0,1.0,3.0
9780375411724,Лев Толстой,Knopf,,"Tolstoy, Leo, graf, 1828-1910 -- Translations into English.",15,0.0,0.0,0.0,0.0
9780060987329,Douglas Coupland,ReganBooks,284.0,"Coma -- Patients -- Fiction, Television programs -- Fiction, Millennium (Eschatology) -- Fiction",9,7.0,11.0,0.0,10.0
9780143039501,Jane Austen,Penguin Books,1278.0,"Love stories, English, England -- Social life and customs -- Fiction",28,2.0,36.0,4.0,2.0
9780765191120,Patricia Cornwell,Smithmark,822.0,"Scarpetta, Kay (Fictitious character) -- Fiction., Medical examiners (Law) -- United States -- Fiction., Women detectives -- United States -- Fiction., Detective and mystery stories., Medical fiction., Virginia -- Fiction.",25,0.0,4.0,0.0,0.0
9780671691325,Mildred Augustine Wirt Benson,Aladdin Paperbacks,151.0,"Detective and mystery stories, American, Children's stories, American, Drew, Nancy (Fictitious character) -- Fiction, Mystery and detective stories, Ghosts -- Fiction, Short stories",26,5.0,55.0,3.0,11.0
